year,orig,dest,flow
1991,Rio Grande do Norte,São Paulo,23656
1991,Rio Grande do Norte,Paraná,445
1991,Rio Grande do Norte,Santa Catarina,304
1991,Rio Grande do Norte,Rio Grande do Sul,347
1991,Rio Grande do Norte,Mato Grosso do Sul,501
1991,Rio Grande do Norte,Mato Grosso,419
1991,Rio Grande do Norte,Goiás,3137
1991,Rio Grande do Norte,Distrito Federal,4640
1991,Paraíba,Rondônia,1664
1991,Paraíba,Acre,122
1991,Paraíba,Amazonas,648
1991,Paraíba,Roraima,393
1991,Paraíba,Pará,1917
1991,Paraíba,Amapá,279
1991,Paraíba,Tocantins,634
1991,Paraíba,Maranhão,1634
1991,Paraíba,Piauí,934
1991,Paraíba,Ceará,6729
1991,Paraíba,Rio Grande do Norte,18368
1991,Paraíba,Pernambuco,24341
1991,Paraíba,Alagoas,1401
1991,Paraíba,Sergipe,576
1991,Paraíba,Bahia,5200
1991,Paraíba,Minas Gerais,2045
1991,Paraíba,Espírito Santo,428
1991,Paraíba,Rio de Janeiro,30434
1991,Paraíba,São Paulo,58743
1991,Paraíba,Paraná,927
1991,Paraíba,Santa Catarina,182
1991,Paraíba,Rio Grande do Sul,411
1991,Paraíba,Mato Grosso do Sul,555
1991,Paraíba,Mato Grosso,847
1991,Paraíba,Goiás,4379
1991,Paraíba,Distrito Federal,10267
1991,Pernambuco,Rondônia,1870
1991,Pernambuco,Acre,98
1991,Pernambuco,Amazonas,996
1991,Pernambuco,Roraima,379
1991,Pernambuco,Pará,3660
1991,Pernambuco,Amapá,153
1991,Pernambuco,Tocantins,1476
1991,Pernambuco,Maranhão,4326
1991,Pernambuco,Piauí,3571
1991,Pernambuco,Ceará,10889
1991,Pernambuco,Rio Grande do Norte,6555
1991,Pernambuco,Paraíba,21611
1991,Pernambuco,Alagoas,24862
1991,Pernambuco,Sergipe,4467
1991,Pernambuco,Bahia,25477
1991,Pernambuco,Minas Gerais,4050
1991,Pernambuco,Espírito Santo,975
1991,Pernambuco,Rio de Janeiro,19392
1991,Pernambuco,São Paulo,164907
1991,Pernambuco,Paraná,2264
1991,Pernambuco,Santa Catarina,372
1991,Pernambuco,Rio Grande do Sul,860
1991,Pernambuco,Mato Grosso do Sul,2028
1991,Pernambuco,Mato Grosso,1484
1991,Pernambuco,Goiás,3424
1991,Pernambuco,Distrito Federal,7086
1991,Alagoas,Rondônia,584
1991,Alagoas,Acre,123
1991,Alagoas,Amazonas,32
1991,Alagoas,Roraima,94
1991,Alagoas,Pará,756
1991,Alagoas,Amapá,23
1991,Alagoas,Tocantins,541
1991,Alagoas,Maranhão,586
1991,Alagoas,Piauí,182
1991,Alagoas,Ceará,1746
1991,Alagoas,Rio Grande do Norte,1029
1991,Alagoas,Paraíba,1667
1991,Alagoas,Pernambuco,21267
1991,Alagoas,Sergipe,11845
1991,Alagoas,Bahia,8471
1991,Alagoas,Minas Gerais,996
1991,Alagoas,Espírito Santo,898
1991,Alagoas,Rio de Janeiro,4250
1991,Alagoas,São Paulo,52326
1991,Alagoas,Paraná,733
1991,Alagoas,Santa Catarina,162
1991,Alagoas,Rio Grande do Sul,467
1991,Alagoas,Mato Grosso do Sul,709
1991,Alagoas,Mato Grosso,1535
1991,Alagoas,Goiás,682
1991,Alagoas,Distrito Federal,928
1991,Sergipe,Rondônia,253
1991,Sergipe,Acre,0
1991,Sergipe,Amazonas,227
1991,Sergipe,Roraima,144
1991,Sergipe,Pará,285
1991,Sergipe,Amapá,0
1991,Sergipe,Tocantins,55
1991,Sergipe,Maranhão,354
1991,Sergipe,Piauí,179
1991,Sergipe,Ceará,538
1991,Sergipe,Rio Grande do Norte,783
1991,Sergipe,Paraíba,620
1991,Sergipe,Pernambuco,2260
1991,Sergipe,Alagoas,4085
1991,Sergipe,Bahia,10947
1991,Sergipe,Minas Gerais,778
1991,Sergipe,Espírito Santo,392
1991,Sergipe,Rio de Janeiro,2305
1991,Sergipe,São Paulo,15848
1991,Sergipe,Paraná,358
1991,Sergipe,Santa Catarina,194
1991,Sergipe,Rio Grande do Sul,329
1991,Sergipe,Mato Grosso do Sul,233
1991,Sergipe,Mato Grosso,123
1991,Sergipe,Goiás,352
1991,Sergipe,Distrito Federal,571
1991,Bahia,Rondônia,5711
1991,Bahia,Acre,167
1991,Bahia,Amazonas,983
1991,Bahia,Roraima,358
1991,Bahia,Pará,13332
1991,Bahia,Amapá,164
1991,Bahia,Tocantins,2062
