orig,dest,year,period,move_type,flow
Midwest,West,2000,1995-2000,Return,155881
South,West,2000,1995-2000,Return,274495
West,West,2000,1995-2000,Return,0
Northeast,Northeast,1940,1935-1940,Repeat,0
Midwest,Northeast,1940,1935-1940,Repeat,13466
South,Northeast,1940,1935-1940,Repeat,11384
West,Northeast,1940,1935-1940,Repeat,11607
Northeast,Midwest,1940,1935-1940,Repeat,9737
Midwest,Midwest,1940,1935-1940,Repeat,0
South,Midwest,1940,1935-1940,Repeat,14197
West,Midwest,1940,1935-1940,Repeat,16760
Northeast,South,1940,1935-1940,Repeat,15900
Midwest,South,1940,1935-1940,Repeat,20408
South,South,1940,1935-1940,Repeat,0
West,South,1940,1935-1940,Repeat,27234
Northeast,West,1940,1935-1940,Repeat,17134
Midwest,West,1940,1935-1940,Repeat,45448
South,West,1940,1935-1940,Repeat,48548
West,West,1940,1935-1940,Repeat,0
Northeast,Northeast,1960,1955-1960,Repeat,0
Midwest,Northeast,1960,1955-1960,Repeat,35342
South,Northeast,1960,1955-1960,Repeat,41033
West,Northeast,1960,1955-1960,Repeat,37010
Northeast,Midwest,1960,1955-1960,Repeat,29463
Midwest,Midwest,1960,1955-1960,Repeat,0
South,Midwest,1960,1955-1960,Repeat,51427
West,Midwest,1960,1955-1960,Repeat,55983
Northeast,South,1960,1955-1960,Repeat,49840
Midwest,South,1960,1955-1960,Repeat,66495
South,South,1960,1955-1960,Repeat,0
West,South,1960,1955-1960,Repeat,107814
Northeast,West,1960,1955-1960,Repeat,57621
Midwest,West,1960,1955-1960,Repeat,133466
South,West,1960,1955-1960,Repeat,154606
West,West,1960,1955-1960,Repeat,0
Northeast,Northeast,1970,1965-1970,Repeat,0
Midwest,Northeast,1970,1965-1970,Repeat,59800
South,Northeast,1970,1965-1970,Repeat,63300
West,Northeast,1970,1965-1970,Repeat,69500
Northeast,Midwest,1970,1965-1970,Repeat,59200
Midwest,Midwest,1970,1965-1970,Repeat,0
South,Midwest,1970,1965-1970,Repeat,88300
West,Midwest,1970,1965-1970,Repeat,109500
Northeast,South,1970,1965-1970,Repeat,87900
Midwest,South,1970,1965-1970,Repeat,100400
South,South,1970,1965-1970,Repeat,0
West,South,1970,1965-1970,Repeat,182200
Northeast,West,1970,1965-1970,Repeat,93400
Midwest,West,1970,1965-1970,Repeat,154700
South,West,1970,1965-1970,Repeat,182500
West,West,1970,1965-1970,Repeat,0
Northeast,Northeast,1980,1975-1980,Repeat,0
Midwest,Northeast,1980,1975-1980,Repeat,40520
South,Northeast,1980,1975-1980,Repeat,63080
West,Northeast,1980,1975-1980,Repeat,50320
Northeast,Midwest,1980,1975-1980,Repeat,49800
Midwest,Midwest,1980,1975-1980,Repeat,0
South,Midwest,1980,1975-1980,Repeat,107720
West,Midwest,1980,1975-1980,Repeat,94480
Northeast,South,1980,1975-1980,Repeat,126560
Midwest,South,1980,1975-1980,Repeat,165040
South,South,1980,1975-1980,Repeat,0
West,South,1980,1975-1980,Repeat,234520
Northeast,West,1980,1975-1980,Repeat,101680
Midwest,West,1980,1975-1980,Repeat,162720
South,West,1980,1975-1980,Repeat,253200
West,West,1980,1975-1980,Repeat,0
Northeast,Northeast,1990,1985-1990,Repeat,0
Midwest,Northeast,1990,1985-1990,Repeat,43802
South,Northeast,1990,1985-1990,Repeat,94957
West,Northeast,1990,1985-1990,Repeat,68507
Northeast,Midwest,1990,1985-1990,Repeat,38066
Midwest,Midwest,1990,1985-1990,Repeat,0
South,Midwest,1990,1985-1990,Repeat,122592
West,Midwest,1990,1985-1990,Repeat,90523
Northeast,South,1990,1985-1990,Repeat,125479
Midwest,South,1990,1985-1990,Repeat,154792
South,South,1990,1985-1990,Repeat,0
West,South,1990,1985-1990,Repeat,280614
Northeast,West,1990,1985-1990,Repeat,79225
Midwest,West,1990,1985-1990,Repeat,114874
South,West,1990,1985-1990,Repeat,289849
West,West,1990,1985-1990,Repeat,0
Northeast,Northeast,2000,1995-2000,Repeat,0
Midwest,Northeast,2000,1995-2000,Repeat,39260
South,Northeast,2000,1995-2000,Repeat,87488
West,Northeast,2000,1995-2000,Repeat,59988
Northeast,Midwest,2000,1995-2000,Repeat,40334
Midwest,Midwest,2000,1995-2000,Repeat,0
South,Midwest,2000,1995-2000,Repeat,134383
West,Midwest,2000,1995-2000,Repeat,96223
Northeast,South,2000,1995-2000,Repeat,127175
Midwest,South,2000,1995-2000,Repeat,167475
South,South,2000,1995-2000,Repeat,0
West,South,2000,1995-2000,Repeat,279738
Northeast,West,2000,1995-2000,Repeat,80266
Midwest,West,2000,1995-2000,Repeat,110793
South,West,2000,1995-2000,Repeat,267482
West,West,2000,1995-2000,Repeat,0
